"","NOC","Medal","Year","Sport","Event","City"
"14209","USA","Bronze",1912,"Athletics","Athletics Men's 1,500 metres","Stockholm"
"14210","JPN","Silver",2000,"Synchronized Swimming","Synchronized Swimming Women's Duet","Sydney"
"14211","JPN","Silver",2004,"Synchronized Swimming","Synchronized Swimming Women's Duet","Athina"
"14212","JPN","Gold",2016,"Judo","Judo Women's Middleweight","Rio de Janeiro"
"14213","ROU","Bronze",1984,"Athletics","Athletics Women's Discus Throw","Los Angeles"
"14214","ERI","Bronze",2004,"Athletics","Athletics Men's 10,000 metres","Athina"
"14215","ITA","Gold",2008,"Fencing","Fencing Men's epee, Individual","Beijing"
"14216","JPN","Gold",1972,"Swimming","Swimming Men's 100 metres Breaststroke","Munich"
"14217","JPN","Bronze",1972,"Swimming","Swimming Men's 200 metres Breaststroke","Munich"
"14218","LIB","Bronze",1952,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","Helsinki"
"14219","FRA","Gold",1900,"Cycling","Cycling Men's Sprint","Paris"
"14220","EUN","Silver",1992,"Weightlifting","Weightlifting Men's Heavyweight I","Barcelona"
"14221","UKR","Gold",1996,"Weightlifting","Weightlifting Men's Heavyweight II","Atlanta"
"14222","FIN","Gold",1912,"Athletics","Athletics Men's Discus Throw","Stockholm"
"14223","FIN","Gold",1912,"Athletics","Athletics Men's Discus Throw, Both Hands","Stockholm"
"14224","FIN","Silver",1920,"Athletics","Athletics Men's Discus Throw","Antwerpen"
"14225","NZL","Bronze",1992,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","Barcelona"
"14226","NZL","Gold",1996,"Equestrianism","Equestrianism Mixed Three-Day Event, Individual","Atlanta"
"14227","GER","Bronze",2004,"Boxing","Boxing Men's Featherweight","Athina"
"14228","JPN","Bronze",1936,"Athletics","Athletics Men's Long Jump","Berlin"
"14229","JPN","Gold",1936,"Athletics","Athletics Men's Triple Jump","Berlin"
"14230","JPN","Silver",2000,"Swimming","Swimming Women's 400 metres Individual Medley","Sydney"
"14231","HUN","Gold",1948,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","London"
"14232","HUN","Gold",1952,"Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres","Helsinki"
"14233","JPN","Gold",1976,"Wrestling","Wrestling Men's Flyweight, Freestyle","Montreal"
"14234","JPN","Bronze",1984,"Wrestling","Wrestling Men's Flyweight, Freestyle","Los Angeles"
"14235","JPN","Gold",2000,"Athletics","Athletics Women's Marathon","Sydney"
"14236","JPN","Bronze",1928,"Swimming","Swimming Men's 100 metres Freestyle","Amsterdam"
"14237","JPN","Bronze",2016,"Judo","Judo Men's Extra-Lightweight","Rio de Janeiro"
"14238","JPN","Silver",1952,"Gymnastics","Gymnastics Men's Horse Vault","Helsinki"
"14239","JPN","Bronze",1956,"Gymnastics","Gymnastics Men's Horizontal Bar","Melbourne"
"14240","JPN","Silver",1960,"Gymnastics","Gymnastics Men's Horizontal Bar","Roma"
"14241","IRI","Silver",1952,"Wrestling","Wrestling Men's Middleweight, Freestyle","Helsinki"
"14242","IRI","Gold",1956,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Melbourne"
"14243","IRI","Silver",1960,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Roma"
"14244","JPN","Gold",2000,"Judo","Judo Men's Half-Middleweight","Sydney"
"14245","GEO","Gold",2016,"Weightlifting","Weightlifting Men's Super-Heavyweight","Rio de Janeiro"
"14246","IRI","Bronze",1968,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Mexico City"
"14247","AUS","Bronze",2008,"Athletics","Athletics Men's 20 kilometres Walk","Beijing"
"14248","AUS","Silver",2008,"Athletics","Athletics Men's 50 kilometres Walk","Beijing"
"14249","AUS","Silver",2012,"Athletics","Athletics Men's 50 kilometres Walk","London"
"14250","AUS","Silver",2016,"Athletics","Athletics Men's 50 kilometres Walk","Rio de Janeiro"
"14251","SWE","Silver",1984,"Wrestling","Wrestling Men's Welterweight, Greco-Roman","Los Angeles"
"14252","URS","Silver",1968,"Weightlifting","Weightlifting Men's Middle-Heavyweight","Mexico City"
"14253","URS","Gold",1972,"Weightlifting","Weightlifting Men's Heavyweight","Munich"
