"","NOC","Medal","Year","Sport","Event","City"
"9398","USA","Silver",2016,"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay","Rio de Janeiro"
"9399","FRA","Bronze",1996,"Equestrianism","Equestrianism Mixed Jumping, Individual","Atlanta"
"9400","URS","Bronze",1968,"Modern Pentathlon","Modern Pentathlon Men's Individual","Mexico City"
"9401","URS","Silver",1968,"Modern Pentathlon","Modern Pentathlon Men's Team","Mexico City"
"9402","URS","Bronze",1972,"Modern Pentathlon","Modern Pentathlon Men's Individual","Munich"
"9403","URS","Gold",1972,"Modern Pentathlon","Modern Pentathlon Men's Team","Munich"
"9404","URS","Silver",1976,"Modern Pentathlon","Modern Pentathlon Men's Individual","Montreal"
"9405","URS","Bronze",1980,"Modern Pentathlon","Modern Pentathlon Men's Individual","Moskva"
"9406","URS","Gold",1980,"Modern Pentathlon","Modern Pentathlon Men's Team","Moskva"
"9407","URS","Silver",1988,"Athletics","Athletics Women's 400 metres Hurdles","Seoul"
"9408","CAN","Silver",1992,"Boxing","Boxing Men's Light-Welterweight","Barcelona"
"9409","KOR","Silver",2004,"Weightlifting","Weightlifting Men's Lightweight","Athina"
"9410","KOR","Bronze",2004,"Shooting","Shooting Women's Trap","Athina"
"9411","KOR","Silver",2004,"Shooting","Shooting Women's Double Trap","Athina"
"9412","KOR","Silver",1996,"Athletics","Athletics Men's Marathon","Atlanta"
"9413","KOR","Bronze",1996,"Table Tennis","Table Tennis Men's Doubles","Atlanta"
"9414","MAS","Silver",2008,"Badminton","Badminton Men's Singles","Beijing"
"9415","MAS","Silver",2012,"Badminton","Badminton Men's Singles","London"
"9416","MAS","Silver",2016,"Badminton","Badminton Men's Singles","Rio de Janeiro"
"9417","KOR","Silver",2012,"Taekwondo","Taekwondo Men's Flyweight","London"
"9418","KOR","Bronze",2016,"Taekwondo","Taekwondo Men's Featherweight","Rio de Janeiro"
"9419","KOR","Silver",2000,"Badminton","Badminton Men's Doubles","Sydney"
"9420","KOR","Silver",2004,"Badminton","Badminton Men's Doubles","Athina"
"9421","KOR","Gold",1992,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres","Barcelona"
"9422","KOR","Silver",2004,"Table Tennis","Table Tennis Women's Doubles","Athina"
"9423","KOR","Gold",1988,"Judo","Judo Men's Half-Lightweight","Seoul"
"9424","KOR","Bronze",2004,"Badminton","Badminton Women's Doubles","Athina"
"9425","KOR","Silver",2008,"Badminton","Badminton Women's Doubles","Beijing"
"9426","KOR","Bronze",1988,"Weightlifting","Weightlifting Men's Light-Heavyweight","Seoul"
"9427","KOR","Gold",2008,"Badminton","Badminton Mixed Doubles","Beijing"
"9428","KOR","Bronze",1988,"Boxing","Boxing Men's Featherweight","Seoul"
"9429","KOR","Bronze",1988,"Wrestling","Wrestling Men's Flyweight, Greco-Roman","Seoul"
"9430","KOR","Bronze",1984,"Wrestling","Wrestling Men's Featherweight, Freestyle","Los Angeles"
"9431","KOR","Silver",2000,"Gymnastics","Gymnastics Men's Parallel Bars","Sydney"
"9432","KOR","Bronze",2000,"Gymnastics","Gymnastics Men's Horizontal Bar","Sydney"
"9433","HKG","Gold",1996,"Sailing","Sailing Women's Windsurfer","Atlanta"
"9434","USA","Gold",1952,"Boxing","Boxing Men's Light-Heavyweight","Helsinki"
"9435","USA","Bronze",1948,"Diving","Diving Men's Springboard","London"
"9436","USA","Gold",1948,"Diving","Diving Men's Platform","London"
"9437","USA","Gold",1952,"Diving","Diving Men's Platform","Helsinki"
"9438","KOR","Bronze",2000,"Fencing","Fencing Men's epee, Individual","Sydney"
"9439","KOR","Gold",2000,"Taekwondo","Taekwondo Women's Welterweight","Sydney"
"9440","KOR","Silver",2004,"Archery","Archery Women's Individual","Athina"
"9441","KOR","Gold",2004,"Archery","Archery Women's Team","Athina"
"9442","KOR","Bronze",1992,"Boxing","Boxing Men's Middleweight","Barcelona"
"9443","KOR","Silver",1996,"Boxing","Boxing Men's Light-Heavyweight","Atlanta"
"9444","HKG","Bronze",2012,"Cycling","Cycling Women's Keirin","London"
"9445","KOR","Gold",2004,"Judo","Judo Men's Lightweight","Athina"
"9446","AUS","Bronze",1956,"Swimming","Swimming Women's 100 metres Freestyle","Melbourne"
"9447","USA","Silver",1948,"Wrestling","Wrestling Men's Bantamweight, Freestyle","London"
"9448","NED","Gold",1928,"Cycling","Cycling Men's Tandem Sprint, 2,000 metres","Amsterdam"
"9449","NED","Silver",1936,"Cycling","Cycling Men's Tandem Sprint, 2,000 metres","Berlin"
"9450","FRA","Bronze",1928,"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle","Amsterdam"
"9451","FRA","Bronze",2004,"Canoeing","Canoeing Men's Kayak Singles, Slalom","Athina"
"9452","FRA","Silver",2008,"Canoeing","Canoeing Men's Kayak Singles, Slalom","Beijing"
"9453","FRA","Silver",1952,"Equestrianism","Equestrianism Men's Three-Day Event, Individual","Helsinki"
"9454","USA","Bronze",1924,"Athletics","Athletics Men's Pentathlon","Paris"
"9455","POL","Gold",1988,"Judo","Judo Men's Half-Middleweight","Seoul"
"9456","POL","Gold",1992,"Judo","Judo Men's Middleweight","Barcelona"
"9457","FRA","Bronze",2004,"Wrestling","Wrestling Women's Middleweight, Freestyle","Athina"
"9458","FRA","Bronze",2012,"Judo","Judo Men's Lightweight","London"
"9459","GER","Silver",1992,"Cycling","Cycling Men's Individual Pursuit, 4,000 metres","Barcelona"
"9460","GER","Silver",2000,"Cycling","Cycling Men's Individual Pursuit, 4,000 metres","Sydney"
"9461","GDR","Bronze",1980,"Judo","Judo Men's Lightweight","Moskva"
"9462","SUI","Silver",1976,"Equestrianism","Equestrianism Mixed Dressage, Team","Montreal"
"9463","SUI","Silver",1948,"Gymnastics","Gymnastics Men's Individual All-Around","London"
"9464","SUI","Silver",1948,"Gymnastics","Gymnastics Men's Horizontal Bar","London"
"9465","GER","Bronze",1964,"Athletics","Athletics Men's Pole Vault","Tokyo"
"9466","FIN","Bronze",1960,"Rowing","Rowing Men's Coxless Pairs","Roma"
"9467","FIN","Gold",1932,"Athletics","Athletics Men's 5,000 metres","Los Angeles"
"9468","FIN","Silver",1936,"Athletics","Athletics Men's 5,000 metres","Berlin"
"9469","FIN","Gold",1920,"Athletics","Athletics Men's Pentathlon","Antwerpen"
"9470","FIN","Gold",1924,"Athletics","Athletics Men's Pentathlon","Paris"
"9471","FIN","Gold",1956,"Wrestling","Wrestling Men's Lightweight, Greco-Roman","Melbourne"
"9472","CHN","Gold",2012,"Fencing","Fencing Men's Foil, Individual","London"
"9473","FIN","Gold",1920,"Wrestling","Wrestling Men's Middleweight, Freestyle","Antwerpen"
"9474","FIN","Silver",1924,"Wrestling","Wrestling Men's Welterweight, Freestyle","Paris"
"9475","FIN","Bronze",1928,"Wrestling","Wrestling Men's Lightweight, Freestyle","Amsterdam"
"9476","FIN","Bronze",1932,"Wrestling","Wrestling Men's Welterweight, Freestyle","Los Angeles"
"9477","USA","Bronze",2008,"Cycling","Cycling Men's Individual Time Trial","Beijing"
"9478","RSA","Bronze",1952,"Boxing","Boxing Men's Featherweight","Helsinki"
"9479","POR","Bronze",1984,"Athletics","Athletics Men's 5,000 metres","Los Angeles"
"9480","FRA","Bronze",2012,"Athletics","Athletics Men's 4 x 100 metres Relay","London"
"9481","FRA","Bronze",2016,"Athletics","Athletics Men's 200 metres","Rio de Janeiro"
"9482","AUS","Bronze",1984,"Swimming","Swimming Men's 400 metres Freestyle","Los Angeles"
"9483","URS","Gold",1972,"Boxing","Boxing Men's Middleweight","Munich"
"9484","SWE","Bronze",1906,"Athletics","Athletics Men's Shot Put","Athina"
"9485","SWE","Gold",1906,"Athletics","Athletics Men's Javelin Throw, Freestyle","Athina"
"9486","SWE","Bronze",1906,"Athletics","Athletics Men's Pentathlon (Ancient)","Athina"
"9487","SWE","Gold",1908,"Athletics","Athletics Men's Javelin Throw","London"
"9488","SWE","Gold",1908,"Athletics","Athletics Men's Javelin Throw, Freestyle","London"
"9489","SWE","Gold",1912,"Athletics","Athletics Men's Javelin Throw","Stockholm"
"9490","BEL","Bronze",1984,"Swimming","Swimming Women's 200 metres Breaststroke","Los Angeles"
"9491","CUB","Gold",1992,"Boxing","Boxing Men's Light-Middleweight","Barcelona"
"9492","FRA","Gold",1920,"Tennis","Tennis Women's Singles","Antwerpen"
"9493","AUT","Gold",1904,"Gymnastics","Gymnastics Men's Individual All-Around","St. Louis"
"9494","AUT","Silver",1904,"Gymnastics","Gymnastics Men's Individual All-Around, Apparatus Work","St. Louis"
"9495","AUT","Gold",1904,"Gymnastics","Gymnastics Men's Team All-Around","St. Louis"
"9496","AUS","Bronze",2004,"Swimming","Swimming Women's 50 metres Freestyle","Athina"
"9497","AUS","Silver",2008,"Swimming","Swimming Women's 100 metres Freestyle","Beijing"
"9498","AUS","Gold",2008,"Swimming","Swimming Women's 100 metres Butterfly","Beijing"
"9499","USA","Gold",1992,"Diving","Diving Men's Springboard","Barcelona"
"9500","USA","Bronze",1996,"Diving","Diving Men's Springboard","Atlanta"
"9501","ESP","Silver",1952,"Shooting","Shooting Men's Free Pistol, 50 metres","Helsinki"
"9502","CUB","Silver",2008,"Boxing","Boxing Men's Bantamweight","Beijing"
"9503","USA","Silver",1936,"Modern Pentathlon","Modern Pentathlon Men's Individual","Berlin"
"9504","USA","Gold",1904,"Tennis","Tennis Men's Doubles","St. Louis"
"9505","CUB","Silver",1980,"Athletics","Athletics Men's 100 metres","Moskva"
"9506","USA","Gold",1976,"Boxing","Boxing Men's Light-Welterweight","Montreal"
"9507","UKR","Silver",2004,"Sailing","Sailing Mixed Skiff","Athina"
"9508","ITA","Bronze",1960,"Athletics","Athletics Women's 100 metres","Roma"
"9509","GRE","Silver",1996,"Weightlifting","Weightlifting Men's Featherweight","Atlanta"
"9510","URS","Bronze",1952,"Gymnastics","Gymnastics Men's Rings","Helsinki"
"9511","URS","Bronze",1960,"Cycling","Cycling Men's Tandem Sprint, 2,000 metres","Roma"
"9512","ITA","Gold",1920,"Equestrianism","Equestrianism Men's Jumping, Individual","Antwerpen"
"9513","ITA","Silver",1924,"Equestrianism","Equestrianism Men's Jumping, Individual","Paris"
"9514","FRA","Bronze",1896,"Athletics","Athletics Men's 1,500 metres","Athina"
"9515","USA","Silver",1904,"Tennis","Tennis Men's Singles","St. Louis"
"9516","ITA","Bronze",1932,"Gymnastics","Gymnastics Men's Floor Exercise","Los Angeles"
"9517","GBR","Silver",1952,"Athletics","Athletics Women's High Jump","Helsinki"
"9518","FRA","Bronze",1924,"Equestrianism","Equestrianism Men's Dressage, Individual","Paris"
"9519","FRA","Gold",1932,"Equestrianism","Equestrianism Men's Dressage, Individual","Los Angeles"
"9520","BUL","Gold",1980,"Boxing","Boxing Men's Flyweight","Moskva"
"9521","URS","Bronze",1980,"Athletics","Athletics Women's Discus Throw","Moskva"
"9522","GBR","Gold",1912,"Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team","Stockholm"
"9523","RUS","Gold",2016,"Modern Pentathlon","Modern Pentathlon Men's Individual","Rio de Janeiro"
"9524","CAN","Bronze",1928,"Wrestling","Wrestling Men's Welterweight, Freestyle","Amsterdam"
"9525","GER","Bronze",1992,"Canoeing","Canoeing Men's Kayak Singles, Slalom","Barcelona"
"9526","GER","Gold",1928,"Wrestling","Wrestling Men's Bantamweight, Greco-Roman","Amsterdam"
"9527","GDR","Bronze",1980,"Canoeing","Canoeing Men's Canadian Singles, 1,000 metres","Moskva"
"9528","FRA","Bronze",1900,"Swimming","Swimming Men's 200 metres Team Swimming","Paris"
"9529","USA","Silver",1912,"Shooting","Shooting Men's Running Target, Single Shot, Team","Stockholm"
"9530","ROU","Bronze",1956,"Gymnastics","Gymnastics Women's Floor Exercise","Melbourne"
"9531","HUN","Bronze",1980,"Boxing","Boxing Men's Heavyweight","Moskva"
"9532","FRA","Silver",2008,"Swimming","Swimming Men's 50 metres Freestyle","Beijing"
"9533","USA","Bronze",2012,"Swimming","Swimming Women's 200 metres Individual Medley","London"
"9534","USA","Silver",1932,"Fencing","Fencing Men's Foil, Individual","Los Angeles"
"9535","KAZ","Silver",2016,"Boxing","Boxing Men's Heavyweight","Rio de Janeiro"
"9536","HUN","Bronze",1908,"Rowing","Rowing Men's Single Sculls","London"
"9537","GER","Silver",2012,"Cycling","Cycling Men's Keirin","London"
"9538","FRA","Bronze",1924,"Athletics","Athletics Men's High Jump","Paris"
"9539","FRG","Silver",1968,"Canoeing","Canoeing Men's Canadian Singles, 1,000 metres","Mexico City"
"9540","FRG","Bronze",1972,"Canoeing","Canoeing Men's Canadian Singles, 1,000 metres","Munich"
"9541","FRG","Silver",1984,"Canoeing","Canoeing Women's Kayak Singles, 500 metres","Los Angeles"
"9542","SWE","Bronze",1920,"Equestrianism","Equestrianism Men's Jumping, Individual","Antwerpen"
"9543","USA","Gold",1984,"Athletics","Athletics Men's 100 metres","Los Angeles"
"9544","USA","Gold",1984,"Athletics","Athletics Men's 200 metres","Los Angeles"
"9545","USA","Gold",1984,"Athletics","Athletics Men's Long Jump","Los Angeles"
"9546","USA","Gold",1988,"Athletics","Athletics Men's 100 metres","Seoul"
"9547","USA","Silver",1988,"Athletics","Athletics Men's 200 metres","Seoul"
"9548","USA","Gold",1988,"Athletics","Athletics Men's Long Jump","Seoul"
"9549","USA","Gold",1992,"Athletics","Athletics Men's Long Jump","Barcelona"
"9550","USA","Gold",1996,"Athletics","Athletics Men's Long Jump","Atlanta"
"9551","GBR","Bronze",1996,"Athletics","Athletics Women's Heptathlon","Atlanta"
"9552","GBR","Gold",2000,"Athletics","Athletics Women's Heptathlon","Sydney"
"9553","CAN","Bronze",1924,"Boxing","Boxing Men's Welterweight","Paris"
"9554","USA","Gold",1936,"Wrestling","Wrestling Men's Welterweight, Freestyle","Berlin"
"9555","AUS","Bronze",1992,"Swimming","Swimming Women's 400 metres Freestyle","Barcelona"
"9556","AUS","Silver",1992,"Swimming","Swimming Women's 800 metres Freestyle","Barcelona"
"9557","CAN","Gold",1988,"Boxing","Boxing Men's Super-Heavyweight","Seoul"
"9558","USA","Gold",1984,"Wrestling","Wrestling Men's Featherweight, Freestyle","Los Angeles"
"9559","RSA","Gold",1912,"Cycling","Cycling Men's Road Race, Individual","Stockholm"
"9560","USA","Gold",1988,"Athletics","Athletics Men's 400 metres","Seoul"
"9561","USA","Silver",1992,"Athletics","Athletics Men's 400 metres","Barcelona"
"9562","SWE","Bronze",1948,"Athletics","Athletics Women's Long Jump","London"
"9563","USA","Bronze",2012,"Gymnastics","Gymnastics Men's Individual All-Around","London"
"9564","USA","Silver",2016,"Gymnastics","Gymnastics Men's Parallel Bars","Rio de Janeiro"
"9565","USA","Silver",2016,"Gymnastics","Gymnastics Men's Horizontal Bar","Rio de Janeiro"
"9566","USA","Bronze",2008,"Swimming","Swimming Men's 100 metres Freestyle","Beijing"
"9567","PRK","Bronze",1992,"Table Tennis","Table Tennis Women's Singles","Barcelona"
"9568","PRK","Bronze",1992,"Table Tennis","Table Tennis Women's Doubles","Barcelona"
"9569","PRK","Silver",1976,"Boxing","Boxing Men's Light-Flyweight","Montreal"
"9570","PRK","Bronze",1980,"Boxing","Boxing Men's Light-Flyweight","Moskva"
"9571","CHN","Bronze",1992,"Athletics","Athletics Women's 10 kilometres Walk","Barcelona"
"9572","CHN","Bronze",2016,"Trampolining","Trampolining Women's Individual","Rio de Janeiro"
"9573","CHN","Bronze",1988,"Diving","Diving Men's Springboard","Seoul"
"9574","SUI","Gold",1996,"Gymnastics","Gymnastics Men's Pommelled Horse","Atlanta"
"9575","CHN","Silver",1992,"Shooting","Shooting Women's Sporting Pistol, 25 metres","Barcelona"
"9576","CHN","Gold",1996,"Shooting","Shooting Women's Sporting Pistol, 25 metres","Atlanta"
"9577","TPE","Silver",2000,"Weightlifting","Weightlifting Women's Featherweight","Sydney"
"9578","PRK","Bronze",1992,"Boxing","Boxing Men's Bantamweight","Barcelona"
"9579","PRK","Gold",1992,"Wrestling","Wrestling Men's Flyweight, Freestyle","Barcelona"
"9580","PRK","Gold",1972,"Shooting","Shooting Mixed Small-Bore Rifle, Prone, 50 metres","Munich"
"9581","PRK","Silver",1980,"Wrestling","Wrestling Men's Bantamweight, Freestyle","Moskva"
"9582","CHN","Silver",2008,"Weightlifting","Weightlifting Men's Middleweight","Beijing"
"9583","CHN","Silver",1988,"Table Tennis","Table Tennis Women's Singles","Seoul"
"9584","CHN","Silver",2004,"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","Athina"
"9585","CHN","Silver",2004,"Shooting","Shooting Men's Air Rifle, 10 metres","Athina"
"9586","CHN","Silver",1992,"Gymnastics","Gymnastics Men's Parallel Bars","Barcelona"
"9587","CHN","Silver",1992,"Gymnastics","Gymnastics Men's Rings","Barcelona"
"9588","CHN","Bronze",1988,"Weightlifting","Weightlifting Men's Lightweight","Seoul"
"9589","CHN","Bronze",2012,"Boxing","Boxing Women's Middleweight","London"
"9590","CHN","Silver",2000,"Table Tennis","Table Tennis Women's Singles","Sydney"
"9591","CHN","Gold",2000,"Table Tennis","Table Tennis Women's Doubles","Sydney"
"9592","CHN","Bronze",1984,"Diving","Diving Men's Platform","Los Angeles"
"9593","CHN","Silver",1984,"Archery","Archery Women's Individual","Los Angeles"
"9594","CHN","Bronze",1988,"Athletics","Athletics Women's Shot Put","Seoul"
"9595","CHN","Silver",2000,"Diving","Diving Women's Platform","Sydney"
"9596","CHN","Gold",2000,"Diving","Diving Women's Synchronized Platform","Sydney"
"9597","CHN","Bronze",2000,"Fencing","Fencing Women's epee, Team","Sydney"
"9598","CHN","Gold",2012,"Fencing","Fencing Women's epee, Team","London"
"9599","CHN","Bronze",1984,"Gymnastics","Gymnastics Men's Individual All-Around","Los Angeles"
"9600","CHN","Silver",1984,"Gymnastics","Gymnastics Men's Team All-Around","Los Angeles"
"9601","CHN","Gold",1984,"Gymnastics","Gymnastics Men's Floor Exercise","Los Angeles"
"9602","CHN","Silver",1984,"Gymnastics","Gymnastics Men's Horse Vault","Los Angeles"
"9603","CHN","Gold",1984,"Gymnastics","Gymnastics Men's Rings","Los Angeles"
"9604","CHN","Gold",1984,"Gymnastics","Gymnastics Men's Pommelled Horse","Los Angeles"
"9605","CHN","Bronze",2016,"Boxing","Boxing Women's Middleweight","Rio de Janeiro"
"9606","CHN","Silver",1988,"Diving","Diving Women's Springboard","Seoul"
"9607","CHN","Silver",2000,"Judo","Judo Women's Half-Middleweight","Sydney"
"9608","CHN","Gold",2004,"Tennis","Tennis Women's Doubles","Athina"
"9609","CHN","Gold",2000,"Gymnastics","Gymnastics Men's Parallel Bars","Sydney"
"9610","CHN","Bronze",2004,"Gymnastics","Gymnastics Men's Parallel Bars","Athina"
"9611","CHN","Gold",2008,"Gymnastics","Gymnastics Men's Parallel Bars","Beijing"
"9612","CHN","Gold",1992,"Gymnastics","Gymnastics Men's Floor Exercise","Barcelona"
"9613","CHN","Bronze",1992,"Gymnastics","Gymnastics Men's Rings","Barcelona"
"9614","CHN","Gold",1996,"Gymnastics","Gymnastics Men's Individual All-Around","Atlanta"
"9615","CHN","Silver",1996,"Gymnastics","Gymnastics Men's Floor Exercise","Atlanta"
"9616","CHN","Gold",2012,"Table Tennis","Table Tennis Women's Singles","London"
"9617","CHN","Silver",2016,"Table Tennis","Table Tennis Women's Singles","Rio de Janeiro"
"9618","CHN","Bronze",2012,"Swimming","Swimming Women's 400 metres Individual Medley","London"
"9619","CHN","Gold",2012,"Badminton","Badminton Women's Singles","London"
"9620","CHN","Gold",2012,"Weightlifting","Weightlifting Women's Lightweight","London"
"9621","CHN","Bronze",2012,"Athletics","Athletics Women's Discus Throw","London"
